title,description,News Feed,Extraction Date,
Malaysia Airlines Begins Compensation Talks on Eve of First Funeral,"With the first funeral getting under way this weekend for passengers aboard missing Malaysia Airlines Flight MH370, the airline said Saturday that it had started talking to the families to discuss compensation.",NBCNews,5/3/2014,
"Man Drives Drunk to Police Station, Beats Woman in Car",Police rain on a 51-year-old man's parade after he drives drunk to a police station on his birthday.,NBCNews,5/3/2014,
Man Robs Southern Diner -- With a Pitchfork,"At first glance, there was nothing particularly noteworthy about the robbery Thursday of a restaurant in suburban Atlanta.An armed man made off with the cash register, scuffled with employees and sped off down the road. Police are still looking for him.Did we mention he was armed?",NBCNews,5/3/2014,
Moms Show Real Post-Baby Bodies in Photo Project,"Photographer's latest work, the Fourth Trimester Bodies Project, features women nearly baring it all, while holding their babies.",NBCNews,5/3/2014,
"Monta Ellis Leads Mavericks Comeback Over Spurs, Forcing Game 7",Monta Ellis scored 12 in the fourth quarter and the Mavs rallied late to force the Spurs to Game 7.,NBCNews,5/3/2014,
Morning Workout: Racehorse Prepares on Kentucky Derby Day,"A horse prepares for a morning workout at Churchill Downs in Louisville on Saturday ahead of the 140th running of the Kentucky Derby. This year's favorite is California Chrome, who won the Santa Anita Derby earlier this year.",NBCNews,5/3/2014,
Must See! Patrick Kane Scores Goal of the Night,Chicago Blackhawks superstar Patrick Kane scored one of the best goals I’ve seen all playoffs tonight.,NBCNews,5/3/2014,
Obama: Botched Execution 'Deeply Troubling',President Barack Obama said Friday that a botched execution this week in Oklahoma is &quot;deeply troubling&quot; and highlights &quot;significant questions about how the death penalty is being applied&quot; in the U.S.,NBCNews,5/3/2014,
Police Charge Teen in Death of 8-Year-Old Boy Killed Helping Sister,"A 16-year-old suspect was charged with murder and strangulation in the death of an 8-year-old Virginia boy who was trying to defend his sister during a sexual assault, police said Saturday.Richmond police are not identifying the suspect because of his age.",NBCNews,5/3/2014,
Police extend Gerry Adams detention in 1972 murder inquiry,Northern Ireland police have been given another 48 hours to interrogate Sinn Fein leader Gerry Adams over a 1972 IRA killing.,NBCNews,5/3/2014,
Politicians Push for Release of U.S. Marine Held in Mexico Prison,U.S. Marine Andrew Tahmooressi is still detained in Mexico after driving over the U.S.-Mexican border with three registered U.S. firearms last month.,NBCNews,5/3/2014,
"Putin Blames West For Odessa Carnage, Ukraine Warns: 'It's a War'",Russia’s Vladimir Putin blamed Kiev and the West for the bloodshed in Odessa Saturday – as Ukraine officials said the eastern unrest had become “a war.,NBCNews,5/3/2014,
Ruff Science: What Are Dogs 'Thinking'?,Dog smarts are being put to the test at a Canine Cognition Center at Yale University.,NBCNews,5/3/2014,
"Russia Blames West for Odessa Carnage, Ukraine Warns 'It's a War'",Russia’s Vladimir Putin blamed Kiev and the West for the bloodshed in Odessa Saturday – as Ukraine officials said the eastern unrest had become “a war.,NBCNews,5/3/2014,
Russian Sanctions in a Nutshell,"A look at the U.S. sanctions on Russia that aim to not only impact their economy, but Putin’s personal wealth and assets of his friends and allies.",NBCNews,5/3/2014,
Saddle Up! Stars Come Out for the Kentucky Derby,"Tom Brady, Miranda Lambert, Boy George more more join the race festivities.",NBCNews,5/3/2014,
"Spy Plane Fries Air Traffic Control Computers, Shuts Down LAX","A relic from the Cold War appears to have triggered a software glitch at a major air traffic control center in California Wednesday that led to delays and cancellations of hundreds of flights across the country, sources familiar with the incident told NBC News.On Wednesday at about 2 p.m.",NBCNews,5/3/2014,
Stereotypical Southern Guy Robs Stereotypical Southern Diner -- With a Pitchfork,"At first glance, there was nothing particularly noteworthy about the robbery Thursday of a restaurant in suburban Atlanta.An armed man made off with the cash register, scuffled with employees and sped off down the road. Police are still looking for him.Did we mention he was armed?",NBCNews,5/3/2014,
Stiviano Says Donald Sterling Is Traumatized by NBA Ban,V. Stiviano says Clippers owner Donald Sterling is confused and traumatized after the NBA banned him for life for racist statements.,NBCNews,5/3/2014,
Teen Stowaway Yahya Abdi Leaves Hawaii,"The 15-year-old stowaway who miraculously survived a 5 1/2-hour flight from California to Hawaii in a jet's wheel well has left the state, an official there said late Friday.Hawaii Department of Human Services spokeswoman Kayla Rosenfeld said Yahya Abdi was &quot;no longer in Hawaii.",NBCNews,5/3/2014,
Top That! Kentucky Derby Hats Pop in Pink,Race fans don their finest headwear.,NBCNews,5/3/2014,
Top That: Kentucky Derby Hats Pop in Pink,Race fans don their finest headwear.,NBCNews,5/3/2014,
TSA Finds 81lbs of Marijuana in Checked Luggage,A woman was arrested at the airport for trying to transport 81 pounds of marijuana in her checked luggage.,NBCNews,5/3/2014,
U.S. Reviewing State Executions as Obama Decries Oklahoma Blunder,President Barack Obama said Friday that a botched execution this week in Oklahoma is &quot;deeply troubling&quot; and highlights &quot;significant questions about how the death penalty is being applied&quot; in the U.S.,NBCNews,5/3/2014,
Ukrainians Unite Under Country's Largest National Flag,"Students from the eastern and western parts of the country unraveled the reportedly largest Ukrainian flag in the world, measuring 197 feet long by 131 feet wide, in support of a united Ukraine during a rally in the city of Lviv on Friday.",NBCNews,5/3/2014,
Vietnam Vets Reunite With Long-Lost Translator,"More than 40 years after he fought in Vietnam, veteran Tom Polston decided it was time to reunite his former Army platoon.",NBCNews,5/3/2014,
"Watch Blazers Stun Rockets With Buzzer-beating, Series-ending 3",Damian Lillard hit a buzzer-beating 3-pointer to stun the Rockets and give Portland its first playoff series win in 14 years.,NBCNews,5/3/2014,
Watch Live! Complete Coverage of Kentucky Derby,Join us for the 140th running of the Kentucky Derby.,NBCNews,5/3/2014,
Watch Live! Final Countdown to the Kentucky Derby,Join us for the 140th running of the Kentucky Derby.,NBCNews,5/3/2014,
WATCH LIVE: Premier League Soccer Manchester United vs. Sunderland,The pick of Saturday's Premier League soccer games.,NBCNews,5/3/2014,
Western Observers Freed by Pro-Russians in Slovyansk: OSCE,"European military observers held by pro-Russian separatists in Ukraine have been released, the Organization for Security and Cooperation in Europe said early Saturday.",NBCNews,5/3/2014,
Western Observers Freed by Pro-Russians in Slovyansk: OSCE,"European military observers held by pro-Russian separatists in Ukraine have been released, the Organization for Security and Cooperation in Europe said early Saturday.All 12 being held hostage were freed in the town of Slovyansk, RIA Novosti reported.",NBCNews,5/3/2014,
Western Observers Freed by Pro-Russians in Slovyansk: OSCE,"European military observers held by pro-Russian separatists in Ukraine have been released, the organization they belong to said early Saturday.All 12 being held hostage were freed in the town of Slovyansk, RIA Novosti reported.",NBCNews,5/3/2014,
What to Know About This Year's Derby Contenders,"There are 160,000 people pouring into Churchill Downs on Saturday, and they all think they have some idea what’s going to happen. They don’t. Nobody knows.",NBCNews,5/3/2014,
"Whooping Cough Vaccine Protects Pregnant Mom and Baby, Too","4 P Saturday embargoA vaccine against whooping cough, tetanus and diphtheria safely protects not only a pregnant woman, but her newborn, too, researchers reported Saturday.",NBCNews,5/3/2014,
William and Harry Descend on Memphis for Bad Buddy's Wedding,"British royals Prince Harry and Prince William — without William's wife, Duchess Kate Middleton — have descended on Memphis, Tenn., for a weekend wedding, which could turn into a booze-filled bash since the groom-to-be is British bad-boy club entrepreneur Guy Pelly.",NBCNews,5/3/2014,
Witness Who Foiled Waseca Bomb Plot Doesn't Think She's a Hero,The woman credited with foiling a Columbine-style attack at a Minnesota school nearly approached the suspicious teen she saw trudging across her backyard — but she said Friday she's relieved her cousin urged her to call the police instead.,NBCNews,5/3/2014,
Women Priests (and One Man) Celebrate 20th Anniversary in London,The Archbishop of Canterbury Justin Welby poses with female priests after their march in London Saturday celebrating the 20th anniversary of women becoming ordained priests in the Church of England. The number of ordained women in the Church of England has now risen to around a third of all priests.,NBCNews,5/3/2014,
"‘No Hope’ for Those Buried by Mudslide, Afghan Official Says","With more than 2,000 people feared dead in the disaster, President Hamid Karzai declared Sunday a national day of mourning and ordered all flags flown at half-staff.",NY Times,5/3/2014,
"‘No Hope’ for Those Buried by Mudslide, Afghanistan Official Says",President Hamid Karzai declared Sunday a national day of mourning and ordered all flags flown at half-staff.,NY Times,5/3/2014,
"‘No Hope’ for Those Buried by Mudslide, Afghanistan Official Says","President Hamid Karzai declared Sunday a national day of mourning and ordered all flags flown at half-staff, after officials said they feared that more than 2,000 people were dead.",NY Times,5/3/2014,
20 Are Held and Curfew Is Imposed After Attacks on Muslims in India,Police say the attacks were carried out by militants with an armed insurgent group that has been agitating for a separate state for decades.,NY Times,5/3/2014,
Accident Leads to Scrutiny of Oil Sand Production,A relatively minor leak last year has led regulators in Alberta to re-examine production that uses steam under pressure to separate oil from subterranean sands.,NY Times,5/3/2014,
Aid Effort Begins at Scene of Afghan Landslides,"More than 2,000 people were feared dead in the wake of the disaster, which buried parts of a remote village in nearly 30 feet of mud.",NY Times,5/3/2014,
"Anthony Drexel Duke, 95, Boys Harbor Founder, Dies","Determined to open a camp for disadvantaged youth, Mr. Duke established an educational and social service agency that has served more than 50,000 children over the years.",NY Times,5/3/2014,
ArtsBeat: George R.R. Martin on ‘Game of Thrones’ and Sexual Violence,The novelist says that his work is grounded in history and that to omit acts of rape or sexual violence from a narrative about war and power would be dishonest.,NY Times,5/3/2014,
"As Game 7 Nears, Rivers Takes Time for Workers","Doc Rivers, the Clippers’ coach, has become the voice of the franchise, addressing employees on and off the court.",NY Times,5/3/2014,
"At Princeton, Privilege Is: (a) Commonplace, (b) Misunderstood or (c) Frowned Upon","A freshman, challenged by another over the advantages in his life, wrote an essay that has been alternately praised and accused of missing the point.",NY Times,5/3/2014,
"Behind the Masks in Ukraine, Many Faces of Rebellion","A deeper look at the rebels in Ukraine offers a murky picture of their aims, motivations and connections. They appear to be Ukrainians, but they have deep ties to and affinity for Russia.",NY Times,5/3/2014,
Bidders Lining Up Lobbyists in Fight for New York Casinos,"A casino license, particularly within a leisurely drive of New York City, could be a golden ticket to billions in profits in one of the last underdeveloped gambling markets in the nation.",NY Times,5/3/2014,
Chelsea Clinton’s Mother-in-Law Runs for House,"Marjorie Margolies, whose son is married to Chelsea Clinton, wants her old House seat back, but she is getting little help from her new relatives.",NY Times,5/3/2014,
Clear Rules Eyed on Church Sex Abuse,"A commission will advise the pope on adopting policies developed from the existing “best practices” for the protection of minors, which can be implemented worldwide.",NY Times,5/3/2014,
Death Stalks Muslims as Myanmar Cuts Off Aid,"Myanmar’s Buddhist-led government has targeted the Rohingya people, depriving them of liberties even as it trumpets democratic reforms.",NY Times,5/3/2014,
Derby Dawns for Two Sons Seeking Win Fathers Missed,"The trainer Jimmy Jerkens and the owner Don Little Jr., the sons of accomplished horsemen, hope that Wicked Strong takes them to a victory in the Kentucky Derby.",NY Times,5/3/2014,
"Efrem Zimbalist Jr., Star of ‘77 Sunset Strip’ and ‘The F.B.I.’, Is Dead at 95",Mr. Zimbalist was an actor whose mellifluous voice and air of European sophistication left a distinctive stamp on two popular television crime series.,NY Times,5/3/2014,
Embrace of Atheism Put an Indonesian in Prison,"The case of Alexander Aan, who was imprisoned after posting commentaries online, is part of a rise in persecution connected to freedom of religion in Indonesia in recent years.",NY Times,5/3/2014,
Ex-Official of Port Agency to Rebuff State Inquiry,The former chairman of the Port Authority of New York and New Jersey will cease cooperating with the legislative investigation surrounding the George Washington Bridge.,NY Times,5/3/2014,
Fight Against Sex Assaults Holds Colleges to Account,"As more victims go public and more of them file formal federal complaints, activists are making shrewd use of the law and the media to force schools to change their approach to assaults.",NY Times,5/3/2014,
"For ‘Game of Thrones,’ Rising Unease Over Rape’s Recurring Role",The sexual brutality often depicted in the hit HBO series “Game of Thrones” has raised objections by critics who say the show is treating rape as routine and unshocking.,NY Times,5/3/2014,
"For Florida Grapefruit, One Blow After Another","Because of diseases like canker and citrus greening, along with hurricanes, Florida’s expected grapefruit production this year is just 40 percent of what it was a decade ago.",NY Times,5/3/2014,
G.M. Talks to Families With Claims Over Defects,"The number of cases, attributing wrongful death or personal injury to an ignition defect, suggest more victims than the company has acknowledged.",NY Times,5/3/2014,
G.O.P. Hopeful Finds Tribal Tie Cuts Both Ways,"T. W. Shannon, a member of the Chickasaw Nation who has emerged as a formidable candidate in the Oklahoma Senate race, is a symbol to some Republicans but a target for others because of his tribal roots.",NY Times,5/3/2014,
Guantánamo Prosecutor Asks Judge to Hold Off Declassification,A judge had ordered the government to turn over classified details to defense lawyers regarding the C.I.A.’s treatment of a Saudi detainee accused of planning the 2000 bombing of the destroyer Cole.,NY Times,5/3/2014,
Guantánamo Prosecutor Fights Handing Secrets Over to Defense,A judge had ordered the government to turn over classified details to defense lawyers regarding the C.I.A.’s treatment of a Saudi detainee accused of planning the 2000 bombing of the destroyer Cole.,NY Times,5/3/2014,
How Being Hit by a Vehicle Changed Times Colleagues’ Lives,Pedestrians injured in traffic accidents share their experiences of recovery and lingering effects.,NY Times,5/3/2014,
How Being Hit by a Vehicle Changed Times Colleagues’ Lives,"New York Times employees, including Executive Editor Jill Abramson, share how being hit by vehicles made a lasting impact on them.",NY Times,5/3/2014,
"In Spite of the Law, Afghan ‘Honor Killings’ of Women Continue",The body of civil law enacted with Western assistance and the classic Islamic code of Shariah protect the rights of women not to be forced into marriage. Tribal codes do not.,NY Times,5/3/2014,
Islamic Jihad Gains New Traction in Gaza,"Founded before Hamas and sharing a similar ideology, Islamic Jihad is growing, asserting itself as the main military expression of Palestinian nationalism.",NY Times,5/3/2014,
Kentucky Derby Dawns for Two Sons Seeking Win That Eluded Their Fathers,"The trainer Jimmy Jerkens and the owner Don Little Jr., the sons of accomplished horsemen, hope that Wicked Strong takes them to a victory in the Kentucky Derby.",NY Times,5/3/2014,
"Kentucky Derby Dawns for Two Sons, Seeking Win That Eluded Their Fathers","The trainer Jimmy Jerkens and the owner Don Little Jr., the sons of accomplished horsemen, hope that Wicked Strong takes them to a victory in the Kentucky Derby.",NY Times,5/3/2014,
Late-Morning Jolt: Subway Derailment in Queens Injures 19,"About 1,000 passengers were stranded underground after an F train left the tracks near 65th Street in Woodside on Friday morning.",NY Times,5/3/2014,
Merkel Signals Tension Persists Over U.S. Spying,"At a White House meeting meant to mend fences, Chancellor Angela Merkel of Germany said it was too soon to return to “business as usual” with the United States following disclosures that the N.S.A had eavesdropped on her phone calls.",NY Times,5/3/2014,
Merkel Signals That Tension Persists Over U.S. Spying,"At a White House meeting meant to mend fences, Chancellor Angela Merkel of Germany said it was too soon to return to “business as usual” with the United States following disclosures that the N.S.A had eavesdropped on her phone calls.",NY Times,5/3/2014,
Military Observers Held in Ukraine Released,Pro-Russia insurgents in eastern Ukraine on Saturday released the seven OSCE military observers and five Ukrainian assistants who had been held for more than a week.,NY Times,5/3/2014,
Mixed Verdict in Apple-Samsung Patent Fight,"The dispute between technology rivals ended with an award of nearly $120 million in damages to Apple and $158,000 to Samsung.",NY Times,5/3/2014,
"More Than 2,000 Feared Dead in Landslide in Afghanistan",President Hamid Karzai declared Sunday a national day of mourning and ordered all flags flown at half-staff.,NY Times,5/3/2014,
"Nets 97, Raptors 83: Hobbled With Ankle Injury, Williams Carries Nets to Game 7","Deron Williams fought through pain to finish with 23 points, 5 rebounds and 4 assists, helping the Nets avoid elimination with a 97-83 win against the Raptors.",NY Times,5/3/2014,
New Inquiry Sought on Benghazi Attack,"As midterm elections approach, House Republicans moved to keep in the forefront their questions over whether the administration misled Congress.",NY Times,5/3/2014,
News Analysis: Democrats Struggle to Turn Economic Gains Into Political Ones,"Positive economic news is no guarantee of electoral success, partly because many middle-income Americans have not reaped the fruits of the recovery.",NY Times,5/3/2014,
"News Analysis: In Surveillance Debate, White House Turns Its Focus to Silicon Valley","The questions about the N.S.A. are strikingly similar to those about how Google, Yahoo, Facebook and thousands of application makers crunch their numbers.",NY Times,5/3/2014,
"News Analysis: In Surveillance Debate, White House Turns Its Focus to Silicon Valley",New restrictions on the National Security Agency may spill over to companies like Google and Facebook in the wake of a government report on technology and the crunching of big data.,NY Times,5/3/2014,
News Corp. to Buy Harlequin for $415 Million,"Harlequin, owned by the Canadian media company Torstar Corporation, is among the world’s largest publishers of romance novels, consistently one of America’s most popular genres.",NY Times,5/3/2014,
Obama Orders Policy Review on Executions,The president directed his attorney general to review how the death penalty is applied in the United States and called a botched execution in Oklahoma “deeply disturbing.”,NY Times,5/3/2014,
Obama Orders Policy Review on Executions,President Obama directed his attorney general to review how the death penalty is applied in the United States and called a botched execution in Oklahoma “deeply disturbing.”,NY Times,5/3/2014,
Partial Service Resumes After Subway Derailment in Queens,"Officials removed some of the cars involved in the derailment on Friday, which injured 19 people, and restored service to the lines, though more disruptions were planned to remove the remaining cars.",NY Times,5/3/2014,
"Plying Social Media, Chinese Workers Grow Bolder in Exerting Clout","A shrinking labor pool in China has shifted more bargaining power to workers, and a mass walkout illustrated their willingness to use it.",NY Times,5/3/2014,
Rice Backs Out of Rutgers Speech After Student Protests,"Former Secretary of State Condoleezza Rice, who was to speak at the May 18 commencement at Rutgers University, said she did not want to detract from the day’s festivities.",NY Times,5/3/2014,
Sports of The Times: Calm in the N.B.A. After the Sterling Storm,The initial sense of satisfaction and self-congratulation following the lifetime ban issued to the Los Angeles Clippers’ owner has given way to pragmatism.,NY Times,5/3/2014,
Sports: California Chrome Wins the Kentucky Derby,"California Chrome, the speedy colt who established himself as the 5-2 morning-line favorite after winning four straight races by a combined 241/4 lengths, won the 140th running of the Kentucky Derby on Saturday.",NY Times,5/3/2014,
Study Reveals Sizable Increase in Diabetes Among Children,"The prevalence of both Type 1 and Type 2 diabetes drastically increased among youth across racial groups from 2001 to 2009, a study found.",NY Times,5/3/2014,
The Great Unwatched,"Online video ads were supposed to be a marketer’s dream. Instead, many become lost in an unruly maze.",NY Times,5/3/2014,
The New Smoke: Some E-Cigarettes Deliver a Puff of Carcinogens,New research suggests that some e-cigarettes get so hot that they can produce a carcinogenic byproduct.,NY Times,5/3/2014,
The Tale of Two Schools,Kiana Jackson and Anabel Simotas attend school in the same borough but worlds apart. How much mutual understanding can a well-told story bring to students at two Bronx schools?,NY Times,5/3/2014,
Ukraine Presses Assault in East as Separatists Free Military Observers,"Even as the European military observers held as suspected NATO spies were released Saturday, Russia cited bloody street violence in Odessa as proof that Ukraine could no longer protect its citizens.",NY Times,5/3/2014,
Ukraine Presses Pro-Russia Militants After Fighting Spreads to a Port City,"Even as European military observers held as suspected NATO spies were released Saturday, Russia cited bloody street violence in Odessa as proof that Ukraine could no longer protect its citizens.",NY Times,5/3/2014,
Ukraine Presses Pro-Russia Militants After Fighting Spreads to Odessa,"Even as European military observers held as suspected NATO spies were released Saturday, Russia cited bloody street violence in Odessa as proof that Ukraine could no longer protect its citizens.",NY Times,5/3/2014,
Ukraine Presses Rebels As Events Spiral in East,"Even as the European military observers held as suspected NATO spies were released Saturday, Russia cited bloody street violence in Odessa as proof that Ukraine could no longer protect its citizens.",NY Times,5/3/2014,
Virginia Senator Pledges Support for Clinton in 2016,"Senator Tim Kaine is the latest Democrat to endorse Hillary Rodham Clinton for president, even though she has not said whether she will run.",NY Times,5/3/2014,
Weekend Kitchen,David Tanis makes ,NY Times,5/3/2014,
Action urged over pay inequality,The Scottish Greens are calling for action to tackle what they claim is a growing inequality in workers' salaries.,BBC,5/4/2014,
Adams 'quizzed for 17 hours a day',A source close to Gerry Adams tells the BBC the Sinn Fein leader is being questioned for up to 17 hours a day by detectives investigating the murder of Jean McConville.,BBC,5/4/2014,
Adams release and care home fraud - the front pages,"The Bank Holiday newspapers examine the release of Gerry Adams after four days of police questioning over a historical murder case, and the rise of fraud involving care home costs.",BBC,5/4/2014,
'Al-Qaeda deaths' in Yemen battle,"Yemeni security forces kill 37 suspected al-Qaeda militants in an offensive in the country's south, the defence ministry says.",BBC,5/4/2014,
Archbishop defends faith schools,"The Archbishop of Canterbury gives a robust defence of faith schools, saying they provide education for some of the poorest children in the UK.",BBC,5/4/2014,
Arrest over shopping centre death,A 29-year-old man is arrested following the death of another man injured at a Glasgow shopping centre.,BBC,5/4/2014,
Arrest over teacher death message,A 42-year-old Port Talbot man is arrested in connection with allegations of malicious communications following the stabbing to death of teacher Ann Maguire at a school in Leeds.,BBC,5/4/2014,
Arsenal 1-0 West Bromwich Albion,"Olivier Giroud scores for Arsenal, who celebrate securing a Champions League spot next season with victory over West Brom.",BBC,5/4/2014,
Atletico fans 'made monkey noises',Levante's Papakouli Diop says he was responding to monkey chants when he danced in front of Atletico Madrid fans.,BBC,5/4/2014,
Atletico fans 'made monkey noises',Levante's Papakouly Diop says he was responding to monkey chants when he danced in front of Atletico Madrid fans.,BBC,5/4/2014,
"Baltacha dies of liver cancer, aged 30",Former British number one tennis player Elena Baltacha dies of liver cancer at the age of 30.,BBC,5/4/2014,
Belgium bans 'anti-Semitic' congress,"A Belgian mayor bans a meeting condemned as anti-Semitic, which French far-right figures including controversial comic Dieudonne were due to attend.",BBC,5/4/2014,
California Chrome wins Kentucky Derby,Victor Espinoza rides California Chrome to victory as 77-year-old Art Sherman becomes the oldest trainer to win the race.,BBC,5/4/2014,
Call for construction health checks,"Tackling work-related ill health among construction apprentices could save more than £30m over the next decade, figures suggest.",BBC,5/4/2014,
Canoeists saved off Jurassic Coast,"Twelve canoeists were ""fortunate"" to have been rescued by a passing boat, a coastguard says.",BBC,5/4/2014,
Catania 4-1 Roma,Juventus secure their third straight Italian title as nearest rivals Roma suffer a shock defeat at bottom side Catania.,BBC,5/4/2014,
Chelsea 0-0 Norwich City,Norwich's hopes of staying in the Premier League remain alive after they dented Chelsea's title ambitions with a hard-fought draw at Stamford Bridge.,BBC,5/4/2014,
Chelsea 0-0 Norwich City,Norwich retain hopes of Premier League survival as they dent Chelsea's title ambitions with a draw at Stamford Bridge.,BBC,5/4/2014,
China bridge collapse kills 11,"An illegal bridge being built in southern China's Guangdong province collapses, killing 11 people and injuring several others, officials say.",BBC,5/4/2014,
Could Vietnam have been nuked in 1954?,Did the US offer France A-bombs to use in Vietnam?,BBC,5/4/2014,
Crisp sales for Mackie's in Canada,Scottish crisp producer Mackie's reports a six-fold increase in annual export sales to Canada.,BBC,5/4/2014,
Day of mourning for Afghan mudslide,The Afghan government declares a day of national mourning for hundreds killed when a mudslide engulfed a north-eastern village on Friday.,BBC,5/4/2014,
East Ukraine braced for more unrest,"Eastern Ukraine is preparing for more unrest between government forces and pro-Russian gunmen, days after 42 died during clashes in Odessa.",BBC,5/4/2014,
Farage-Cameron debate 'speculation',"David Cameron has ""not ruled anything in or out"" when it came to televised debates ahead of next year's general election, Downing Street says.",BBC,5/4/2014,
Fire crews back to work after strike,"Firefighters end a third consecutive day of strike action in a dispute over pensions, with senior officers saying Wales' three services coped despite reduced resources.",BBC,5/4/2014,
Fire crews stage further strike,Firefighters across Wales stage a third consecutive day of strike action in a row over pensions.,BBC,5/4/2014,
Fire crews tackle bingo hall blaze,"About 50 firefighters have been involved in dealing with an overnight fire at a retail park in Larne, County Antrim.",BBC,5/4/2014,
Fire crews tackle bingo hall blaze,"About 50 firefighters are involved in dealing with an overnight fire at a retail park in Larne, County Antrim.",BBC,5/4/2014,
Fire crews to stage further strike,Firefighters across Wales are due to stage a third consecutive day of strike action in a row over pensions.,BBC,5/4/2014,
Froome retains Tour de Romandie title,Britain's Chris Froome sets his sights on the Tour de France after a second consecutive Tour de Romandie victory.,BBC,5/4/2014,
Gay bishop Gene Robinson to divorce,"Gene Robinson, the first openly gay bishop in the US Episcopal church, says he is divorcing his husband and partner of 25 years.",BBC,5/4/2014,
Gerry Adams released from custody,"Sinn Fein leader Gerry Adams has been released from custody over a 1972 murder and a file will be sent to the Public Prosecution Service, police confirm.",BBC,5/4/2014,
Giggs admits he may leave Man Utd,Manchester United interim manager Ryan Giggs says he would not play for another team but would leave to manage another club.,BBC,5/4/2014,
Growth reported in oil supply work,"Export sales from Scotland's oil and gas supply chain grew to £10bn in 2013, according to figures from Scottish Enterprise.",BBC,5/4/2014,
Heads to examine long holiday change,Head teachers are to investigate the benefits of scrapping the six-week summer holidays for breaks spread more evenly through the year.,BBC,5/4/2014,
Heads to examine long holiday change,Head teachers are to investigate the benefits of scrapping the six-week summer holidays.,BBC,5/4/2014,
Heads urge end to long summer break,Head teachers are set to call for an end to six-week summer holidays saying it could reduce teacher exhaustion and cut holiday prices.,BBC,5/4/2014,
Hormone boost 'may help infertility',"A study shedding light on the way key hormones affect the brain could pave the way for new fertility treatments, researchers say.",BBC,5/4/2014,
Khan targets Mayweather after win,Amir Khan is hoping to take on undefeated world champion Floyd Mayweather after winning his debut welterweight fight.,BBC,5/4/2014,
Labour should 'reform the railways',"Labour should reform the rail industry to secure a better deal for passengers if the party wins the next election, a group of prospective MPs say.",BBC,5/4/2014,
Labour 'should reform the railways',"Labour should reform the rail industry to secure a better deal for passengers if the party wins the next election, a group of prospective MPs say.",BBC,5/4/2014,
Labour wants AstraZeneca deal probe,Labour urges an inquiry into whether Pfizer's bid to take over AstraZeneca is in the UK's national interest.,BBC,5/4/2014,
"Labour's rail and food plans, and what Clarkson will do next","The Sunday papers examine Labour policy proposals about Britain's railways and regarding food and drink, and there is further speculation over the Jeremy Clarkson race row.",BBC,5/4/2014,
"Labour's rail and food plans, and what Clarkson will do next - the front pages","The Sunday papers examine Labour policy proposals about Britain's railways and regarding food and drink, and there is further speculation over the Jeremy Clarkson race row.",BBC,5/4/2014,
Last-ditch talks due on Tube strike,"London Underground and Rail, Maritime and Transport union representatives are to meet hours before a planned three-day strike by Tube workers.",BBC,5/4/2014,
Libya appoints businessman as new PM,"Libyan parliament elects Ahmed Maitig as new prime minister, three weeks after Abdullah al-Thinni resigned.",BBC,5/4/2014,
Libya Congress rejects new PM,Libya's Congress leader rejects the appointment of a new interim prime minister only hours after he was sworn in.,BBC,5/4/2014,
Man 'stabbed in back' during assault,"A 42-year-old man is stabbed in the back during an assault in Coleraine, County Londonderry.",BBC,5/4/2014,
Mayweather outpoints game Maidana,Floyd Mayweather outpoints Marcos Maidana in Las Vegas to unify the welterweight division and remain unbeaten in 46 professional fights.,BBC,5/4/2014,
Mourinho 'said no to easy fairytales',"Jose Mourinho says he does not regret returning to Chelsea, who are set to finish the season without a trophy.",BBC,5/4/2014,
'Murder plot' school action 'swift',The chair of governors at a school at the centre of an alleged murder plot says everyone responded swiftly when concerns were first raised.,BBC,5/4/2014,
Murray considering McEnroe as coach,Andy Murray is considering hiring John McEnroe as his coach after the legend expressed an interest in working with him.,BBC,5/4/2014,
Nairobi buses hit by deadly blasts,"Three people have been killed and 62 wounded in two explosions on passenger buses on a road heading out of the Kenyan capital Nairobi, officials say.",BBC,5/4/2014,
Nairobi buses hit by deadly blasts,"Three people die and 62 are hurt in two explosions on passenger buses on a road near the Kenyan capital Nairobi, officials say.",BBC,5/4/2014,
Nairobi buses 'hit by explosions',Two blasts are reported on buses in the Kenyan capital Nairobi and there are fears of casualties.,BBC,5/4/2014,
Newspaper backs 'Yes' campaign,"The Sunday Herald becomes the first newspaper to publicly back a ""Yes"" vote in the Scottish independence referendum.",BBC,5/4/2014,
Nigeria cracks down before WEF event,"Nigerian security forces detain several people in Abuja over recent bomb attacks, days before a World Economic Forum event.",BBC,5/4/2014,
Nigeria leader ends silence on girls,"Nigeria's president admits he still does not know the whereabouts of the schoolgirls seized last month by Islamist militants, in his first public comments on the matter.",BBC,5/4/2014,
Nigeria leader in missing girls plea,Nigeria's Goodluck Jonathan admits he still does not know the whereabouts of dozens of schoolgirls abducted last month by Islamist militants.,BBC,5/4/2014,
'Nothing learnt' at shut free school,"Many pupils at the first free school to be shut due to poor standards were ""taught nothing"", a head teachers' leader is due to say.",BBC,5/4/2014,
Obama riffs on healthcare policy,Barack Obama cracks jokes about his flagship healthcare policy and ribs some of his critics at the annual White House correspondents' dinner.,BBC,5/4/2014,
Odessa detainees freed after protest,Ukrainian police free pro-Russian activists detained after Friday's deadly unrest in Odessa as a large crowd attacks the city's police HQ.,BBC,5/4/2014,
